Entry,split,status,path
Q7U5S4,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q7U5S4.pdb
Q9M8T9,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q9M8T9.pdb
Q8WYB5,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q8WYB5.pdb
Q5UQ88,train,no_entry,
O95071,train,no_entry,
Q11087,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q11087.pdb
Q41745,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q41745.pdb
Q06508,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q06508.pdb
Q59601,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q59601.pdb
Q54XS6,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q54XS6.pdb
Q93571,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q93571.pdb
O15541,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\O15541.pdb
Q3U487,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q3U487.pdb
Q3T1H6,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q3T1H6.pdb
Q9VR91,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q9VR91.pdb
F4HPP7,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\F4HPP7.pdb
O00237,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\O00237.pdb
P43254,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\P43254.pdb
Q96G75,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q96G75.pdb
Q8IPJ3,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q8IPJ3.pdb
Q1L8G6,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q1L8G6.pdb
Q9BYM8,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q9BYM8.pdb
Q9VF81,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q9VF81.pdb
Q06644,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q06644.pdb
Q04082,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q04082.pdb
Q9NX78,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q9NX78.pdb
P50636,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\P50636.pdb
P46961,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\P46961.pdb
P53306,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\P53306.pdb
P9WN05,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\P9WN05.pdb
A0QLI5,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\A0QLI5.pdb
Q9I788,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q9I788.pdb
O64761,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\O64761.pdb
A8GG78,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\A8GG78.pdb
A3UNN4,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\A3UNN4.pdb
Q04806,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q04806.pdb
P23983,train,no_entry,
A0A1W2PR19,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\A0A1W2PR19.pdb
P0C8I6,train,no_entry,
P0CG30,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\P0CG30.pdb
O31502,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\O31502.pdb
Q9C5E5,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q9C5E5.pdb
P26697,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\P26697.pdb
P0ABN1,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\P0ABN1.pdb
O52951,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\O52951.pdb
Q09103,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q09103.pdb
O96720,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\O96720.pdb
Q47LM9,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q47LM9.pdb
Q9BZ23,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q9BZ23.pdb
Q7MS38,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q7MS38.pdb
A7I3S0,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\A7I3S0.pdb
Q49GP5,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q49GP5.pdb
P37297,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\P37297.pdb
Q49GP3,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q49GP3.pdb
Q9SI52,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q9SI52.pdb
Q06259,train,no_entry,
Q5UQJ6,train,no_entry,
Q5GIT4,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q5GIT4.pdb
Q25197,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q25197.pdb
P18475,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\P18475.pdb
P08581,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\P08581.pdb
Q504Y2,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q504Y2.pdb
P18161,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\P18161.pdb
O60674,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\O60674.pdb
P18106,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\P18106.pdb
Q8G4G1,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q8G4G1.pdb
Q6NSM8,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q6NSM8.pdb
P53349,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\P53349.pdb
Q99558,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q99558.pdb
P53599,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\P53599.pdb
Q9WTR2,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q9WTR2.pdb
O74539,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\O74539.pdb
Q9HWR3,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q9HWR3.pdb
Q04804,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q04804.pdb
P70954,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\P70954.pdb
Q8TWH4,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q8TWH4.pdb
Q9UX83,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q9UX83.pdb
Q8VYL1,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q8VYL1.pdb
Q8L7W7,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q8L7W7.pdb
Q9HN88,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q9HN88.pdb
B8GZV1,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\B8GZV1.pdb
P0C9D2,train,no_entry,
Q9XGA0,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q9XGA0.pdb
Q54PA9,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q54PA9.pdb
Q87022,train,no_entry,
P09675,train,no_entry,
Q5U315,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q5U315.pdb
Q6G2A9,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q6G2A9.pdb
O66426,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\O66426.pdb
Q64FP0,train,no_entry,
Q02382,train,no_entry,
Q57877,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q57877.pdb
Q8ECH7,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q8ECH7.pdb
Q6PCL9,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q6PCL9.pdb
P0DTA7,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\P0DTA7.pdb
P0DV89,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\P0DV89.pdb
Q06163,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q06163.pdb
Q9NBX4,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q9NBX4.pdb
P19593,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\P19593.pdb
Q8TVB4,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q8TVB4.pdb
P25615,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\P25615.pdb
A0A150XSC5,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\A0A150XSC5.pdb
B8YB57,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\B8YB57.pdb
Q8ZNT5,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q8ZNT5.pdb
Q9J5C0,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q9J5C0.pdb
Q9HT84,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q9HT84.pdb
A0A381HBN1,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\A0A381HBN1.pdb
Q6R9F9,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q6R9F9.pdb
Q8K9B8,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q8K9B8.pdb
P28631,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\P28631.pdb
Q9K838,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q9K838.pdb
P39135,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\P39135.pdb
Q4X1W0,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q4X1W0.pdb
Q31HN9,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q31HN9.pdb
A5FR85,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\A5FR85.pdb
Q6FJZ5,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q6FJZ5.pdb
B3ETH8,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\B3ETH8.pdb
Q9WYH1,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q9WYH1.pdb
A8GAD1,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\A8GAD1.pdb
O33407,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\O33407.pdb
O32232,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\O32232.pdb
Q5VKJ7,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q5VKJ7.pdb
Q9TWL9,train,no_entry,
Q8CXQ3,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q8CXQ3.pdb
Q48H61,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q48H61.pdb
P26876,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\P26876.pdb
I6Y2J4,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\I6Y2J4.pdb
P41773,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\P41773.pdb
Q8S1D9,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q8S1D9.pdb
P0DSI2,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\P0DSI2.pdb
P0DX85,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\P0DX85.pdb
P18952,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\P18952.pdb
Q8BZT7,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q8BZT7.pdb
A0PSA3,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\A0PSA3.pdb
Q20500,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q20500.pdb
P00622,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\P00622.pdb
A7IAL9,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\A7IAL9.pdb
Q68EL2,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q68EL2.pdb
Q99638,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q99638.pdb
A8MCV2,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\A8MCV2.pdb
P14746,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\P14746.pdb
P37454,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\P37454.pdb
Q9BQ50,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q9BQ50.pdb
Q31R15,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q31R15.pdb
Q8KBF9,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q8KBF9.pdb
C5C0V6,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\C5C0V6.pdb
Q38100,train,no_entry,
A5I308,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\A5I308.pdb
Q9YCL9,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q9YCL9.pdb
Q57822,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q57822.pdb
Q9LXM4,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q9LXM4.pdb
Q6BMM5,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q6BMM5.pdb
Q97TX9,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q97TX9.pdb
Q2RRV2,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q2RRV2.pdb
Q8W4C3,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q8W4C3.pdb
