Entry,split,status,path
H3ZPL1,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\H3ZPL1.pdb
A6UW35,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\A6UW35.pdb
Q7MH68,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q7MH68.pdb
P08075,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\P08075.pdb
Q86AG8,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q86AG8.pdb
O49818,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\O49818.pdb
Q8PZ69,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q8PZ69.pdb
A7NLR3,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\A7NLR3.pdb
P11045,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\P11045.pdb
P39045,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\P39045.pdb
O14192,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\O14192.pdb
Q09551,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q09551.pdb
A1SRH8,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\A1SRH8.pdb
Q5JDB7,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q5JDB7.pdb
P39042,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\P39042.pdb
Q8RQP9,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q8RQP9.pdb
O45686,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\O45686.pdb
Q3IBX6,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q3IBX6.pdb
P40852,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\P40852.pdb
P77619,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\P77619.pdb
Q0S808,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q0S808.pdb
O45145,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\O45145.pdb
Q9A871,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q9A871.pdb
Q9HLQ2,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q9HLQ2.pdb
Q86I79,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q86I79.pdb
O74739,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\O74739.pdb
S4S3E3,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\S4S3E3.pdb
P16635,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\P16635.pdb
Q9VIP7,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q9VIP7.pdb
A1SJN0,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\A1SJN0.pdb
Q9YE03,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q9YE03.pdb
Q8ZNT5,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q8ZNT5.pdb
P35150,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\P35150.pdb
O06835,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\O06835.pdb
Q6DBD7,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q6DBD7.pdb
A7IB66,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\A7IB66.pdb
P95931,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\P95931.pdb
P08309,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\P08309.pdb
Q6F9F5,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q6F9F5.pdb
Q00618,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q00618.pdb
Q05533,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q05533.pdb
A4XT57,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\A4XT57.pdb
B0UHR4,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\B0UHR4.pdb
B8FNN4,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\B8FNN4.pdb
P0DX85,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\P0DX85.pdb
Q08602,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q08602.pdb
Q55714,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q55714.pdb
A4XPM3,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\A4XPM3.pdb
P31129,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\P31129.pdb
Q3SM42,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q3SM42.pdb
Q6Q252,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q6Q252.pdb
Q55DQ4,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q55DQ4.pdb
Q2SN16,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q2SN16.pdb
Q3J6V6,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q3J6V6.pdb
P0DSI2,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\P0DSI2.pdb
Q9FJ32,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q9FJ32.pdb
Q3IU57,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q3IU57.pdb
A1VIL5,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\A1VIL5.pdb
Q89AW4,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q89AW4.pdb
P18952,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\P18952.pdb
O94412,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\O94412.pdb
A0AG13,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\A0AG13.pdb
O54030,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\O54030.pdb
Q68KK0,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q68KK0.pdb
O87172,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\O87172.pdb
Q57490,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q57490.pdb
Q2KIJ2,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q2KIJ2.pdb
P45176,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\P45176.pdb
Q56724,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q56724.pdb
O14145,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\O14145.pdb
P40481,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\P40481.pdb
O84089,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\O84089.pdb
P0DUE2,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\P0DUE2.pdb
O54029,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\O54029.pdb
P44333,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\P44333.pdb
Q55DL2,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q55DL2.pdb
Q69Q02,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q69Q02.pdb
O54031,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\O54031.pdb
Q9UTQ8,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q9UTQ8.pdb
Q59266,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q59266.pdb
I3R9M8,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\I3R9M8.pdb
Q9W3U1,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q9W3U1.pdb
P29364,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\P29364.pdb
Q9UXN8,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q9UXN8.pdb
P42177,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\P42177.pdb
Q9KPQ9,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q9KPQ9.pdb
A4G1V8,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\A4G1V8.pdb
P19318,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\P19318.pdb
Q8ZC51,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q8ZC51.pdb
A0B5N0,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\A0B5N0.pdb
Q0AHY7,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q0AHY7.pdb
Q55595,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q55595.pdb
P0AF32,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\P0AF32.pdb
Q37145,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q37145.pdb
P0DC92,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\P0DC92.pdb
A6U6V4,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\A6U6V4.pdb
P42176,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\P42176.pdb
O55143,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\O55143.pdb
Q929X1,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q929X1.pdb
Q2RPU7,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q2RPU7.pdb
Q9RER4,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q9RER4.pdb
P92939,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\P92939.pdb
Q9HRF0,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q9HRF0.pdb
Q5WNE3,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q5WNE3.pdb
P52308,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\P52308.pdb
Q0A4T1,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q0A4T1.pdb
P77302,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\P77302.pdb
Q1IYK9,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q1IYK9.pdb
Q1H190,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q1H190.pdb
Q66662,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q66662.pdb
Q04760,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q04760.pdb
Q9TW67,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q9TW67.pdb
Q8ELK1,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q8ELK1.pdb
A1KV38,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\A1KV38.pdb
O83505,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\O83505.pdb
P36603,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\P36603.pdb
Q2P7U1,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q2P7U1.pdb
Q3IF68,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q3IF68.pdb
A5FZ26,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\A5FZ26.pdb
P50070,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\P50070.pdb
P42521,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\P42521.pdb
Q8D2H8,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q8D2H8.pdb
A5I0I2,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\A5I0I2.pdb
A0Q6W0,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\A0Q6W0.pdb
Q9PM37,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q9PM37.pdb
P28847,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\P28847.pdb
A0A1V0HUU2,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\A0A1V0HUU2.pdb
B7VB62,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\B7VB62.pdb
Q9X1G3,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q9X1G3.pdb
P09938,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\P09938.pdb
O05442,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\O05442.pdb
A0A0K1SC59,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\A0A0K1SC59.pdb
A2BMW0,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\A2BMW0.pdb
Q6NRE8,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q6NRE8.pdb
Q6GNL1,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q6GNL1.pdb
A0A5B8Z1N3,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\A0A5B8Z1N3.pdb
Q7VNV1,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q7VNV1.pdb
Q0C438,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q0C438.pdb
Q9EQQ0,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q9EQQ0.pdb
Q7K237,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q7K237.pdb
Q5AAU5,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q5AAU5.pdb
Q9I739,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q9I739.pdb
A0A1L7TZE5,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\A0A1L7TZE5.pdb
Q18515,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q18515.pdb
P0DW59,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\P0DW59.pdb
Q8K9P6,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q8K9P6.pdb
Q92UG4,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q92UG4.pdb
Q0ALV0,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q0ALV0.pdb
Q9U263,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q9U263.pdb
Q08BL3,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q08BL3.pdb
Q98PH2,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q98PH2.pdb
A1V517,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\A1V517.pdb
A0LH38,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\A0LH38.pdb
Q8X225,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q8X225.pdb
Q7SYI5,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q7SYI5.pdb
A7Z1E8,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\A7Z1E8.pdb
O68109,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\O68109.pdb
Q5AW75,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q5AW75.pdb
B8DHM6,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\B8DHM6.pdb
A2SS82,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\A2SS82.pdb
Q88ZS1,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q88ZS1.pdb
P73715,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\P73715.pdb
B5ZZ10,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\B5ZZ10.pdb
Q6BXJ4,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q6BXJ4.pdb
Q8RHH5,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q8RHH5.pdb
A1T099,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\A1T099.pdb
C4L274,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\C4L274.pdb
P0ABK2,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\P0ABK2.pdb
Q640I9,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q640I9.pdb
Q1QEK1,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q1QEK1.pdb
Q8K912,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q8K912.pdb
Q09049,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q09049.pdb
P0CO40,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\P0CO40.pdb
C4XST3,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\C4XST3.pdb
Q57596,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q57596.pdb
P0ABJ9,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\P0ABJ9.pdb
Q9VHH9,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q9VHH9.pdb
Q58030,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q58030.pdb
P14571,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\P14571.pdb
P25240,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\P25240.pdb
P94365,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\P94365.pdb
Q47PQ7,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q47PQ7.pdb
P43641,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\P43641.pdb
P94364,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\P94364.pdb
P36159,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\P36159.pdb
Q28CL4,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q28CL4.pdb
P08957,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\P08957.pdb
P0CW42,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\P0CW42.pdb
Q89NF8,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q89NF8.pdb
Q9PMD4,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q9PMD4.pdb
Q02890,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q02890.pdb
P96188,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\P96188.pdb
P87168,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\P87168.pdb
Q5I396,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q5I396.pdb
P43073,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\P43073.pdb
Q58571,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q58571.pdb
Q88A48,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q88A48.pdb
Q9ASU1,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q9ASU1.pdb
Q9WYK0,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q9WYK0.pdb
B0R328,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\B0R328.pdb
O13504,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\O13504.pdb
O27002,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\O27002.pdb
Q0AC59,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q0AC59.pdb
O74850,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\O74850.pdb
Q875I3,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q875I3.pdb
Q48943,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q48943.pdb
