Entry,true_ec,ensemble_correct,foldseek_correct,esm2_3b_correct,fs_prob,has_fs_hit,protein_len,cds_len,gc_content,codon_entropy
Q9K801,3.1.3.15,False,False,False,0.998,True,273,822,0.4391727493917275,5.569817437444477
B1ZW12,5.3.1.16,True,True,False,1.0,True,243,732,0.6598360655737705,5.152963848985241
P53010,3.1.13.4,False,False,False,1.0,True,1115,3348,0.3751493428912784,5.649177465663378
P12670,3.2.1.6,False,False,False,0.082,True,247,744,0.46639784946236557,5.541108037599583
Q7N439,3.5.1.44,False,False,False,0.016,True,313,942,0.32908704883227174,5.1651300126324795
Q05509,5.4.99.1,False,False,False,1.0,True,485,1458,0.350480109739369,4.9707974546871725
P44121,6.5.1.1,True,True,True,1.0,True,268,807,0.3655514250309789,5.274394773890139
P80574,2.5.1.54,True,True,True,1.0,True,450,1353,0.6977087952697709,4.758253586788688
Q52985,2.7.8.37,False,False,False,0.063,True,200,603,0.6766169154228856,5.061512386164165
Q12923,3.1.3.48,False,False,False,0.991,True,2485,7473,0.4278067710424194,5.685180001991574
P41477,2.7.7.50,True,True,False,0.991,True,464,1395,0.421505376344086,5.473739234545027
Q98PE3,6.3.4.19,True,True,True,1.0,True,286,861,0.21138211382113822,4.726619986384968
A5VJK7,2.7.7.72,False,False,False,0.975,True,403,1212,0.39026402640264024,5.387956314204488
Q979R4,5.4.99.12,True,True,False,1.0,True,246,741,0.4008097165991903,5.604454870240934
P15214,2.5.1.18,True,True,True,1.0,True,203,612,0.39705882352941174,5.392561190813878
Q197A8,6.5.1.2,True,True,False,1.0,True,756,2271,0.4817261118450022,5.670491843824126
Q20EX8,1.3.7.7,True,True,True,1.0,True,572,1719,0.37521815008726006,5.446469072191071
P07736,4.6.1.24,False,True,False,0.411,True,105,0,,
Q56UD0,3.2.1.26,True,True,True,1.0,True,596,1782,0.6627384960718294,5.3461944499718435
A0A8V1ABE9,4.3.1.18,False,False,False,1.0,True,376,1128,0.6879432624113475,5.255955382028919
C0HM52,6.5.1.3,True,False,True,0.0,False,395,0,,
Q9ZPY1,1.4.3.5,True,True,True,1.0,True,198,597,0.440536013400335,5.585070275235867
Q9NKW1,1.1.1.35,False,False,False,1.0,True,441,1326,0.39064856711915535,4.976389771937252
Q57764,4.1.1.19,False,False,False,0.045,True,165,498,0.3795180722891566,5.058459960968948
A0A509AKI1,3.4.21.62,True,True,False,1.0,True,836,2511,0.23775388291517324,4.952801693333566
P52101,2.7.13.3,True,True,True,1.0,True,475,1383,0.532176428054953,5.536816295905431
O74323,3.4.21.89,True,True,True,1.0,True,189,570,0.38596491228070173,5.450854697986216
Q7SIC2,1.13.11.24,True,True,False,1.0,True,350,0,,
Q927E4,2.7.1.121,False,False,True,0.975,True,124,375,0.376,4.888076394330016
P09543,3.1.4.37,False,False,True,1.0,True,421,1266,0.593996840442338,5.358631941385623
Q7TTT8,4.2.1.1,False,True,False,0.632,True,579,1740,0.6270114942528736,5.501915090796353
Q8KRU5,3.1.4.4,False,False,False,1.0,True,556,1575,0.7371428571428571,4.606452247962491
Q8L7W8,3.2.1.51,False,False,False,1.0,True,843,2544,0.45676100628930816,5.739645387730762
P57291,2.4.2.8,False,False,False,1.0,True,178,501,0.2774451097804391,5.011611267666735
Q07251,1.1.1.27,False,False,False,1.0,True,349,1050,0.6980952380952381,4.903329030946328
P98198,7.6.2.1,False,False,False,1.0,True,1209,3672,0.5424836601307189,5.543036751193713
Q9E6M6,3.6.1.23,True,True,True,1.0,True,436,1311,0.4416475972540046,5.742949150793641
Q9ZV04,1.11.1.7,False,False,False,0.016,True,350,1053,0.4748338081671415,5.656483982977094
Q2U4L7,3.5.1.2,False,False,False,1.0,True,690,2112,0.5383522727272727,5.641002404549116
P07098,3.1.1.3,False,False,False,1.0,True,398,1197,0.41854636591478694,5.580219117669504
Q58HT5,2.3.1.75,False,False,False,1.0,True,328,987,0.5379939209726444,5.475866603547838
Q97E14,1.11.1.24,True,True,True,1.0,True,164,495,0.3414141414141414,5.0260840955174055
A0A7J6K7Y0,2.7.11.1,True,True,False,1.0,True,640,1923,0.5767030681227249,5.726471325552657
Q07838,3.5.1.4,False,False,False,0.014,True,406,1221,0.6552006552006552,5.16472954857093
F4JZC2,3.2.1.96,False,False,False,1.0,True,680,1920,0.43802083333333336,5.686773507415854
Q82TC0,2.7.1.71,False,False,False,1.0,True,211,636,0.5062893081761006,5.513869025163571
P14882,6.4.1.3,False,False,False,1.0,True,737,2166,0.47876269621421974,5.721586506619512
B2IKU6,2.1.3.15,False,False,False,1.0,True,317,954,0.590146750524109,5.375628397790521
B3PFQ2,7.2.1.1,False,False,False,0.601,True,447,1344,0.5394345238095238,5.476823886496691
P41793,1.2.1.10,True,False,True,0.382,True,467,1404,0.5990028490028491,5.228419150040658
P07343,4.2.1.2,False,False,False,0.034,True,462,1389,0.47588192944564434,5.531901405743285
A0PXX5,2.7.7.6,False,False,False,0.051,True,315,948,0.32383966244725737,4.998113061763321
A6UW32,2.7.4.25,True,True,False,1.0,True,178,537,0.3258845437616387,5.080269472615989
Q56815,4.1.2.13,False,False,False,1.0,True,354,1065,0.6629107981220658,4.684187746462715
P9WIC5,4.1.3.40,True,True,True,1.0,True,199,600,0.525,5.6467206694392935
P87175,3.1.11.2,False,False,False,1.0,True,523,1572,0.3848600508905852,5.615737402092748
P73548,2.7.7.41,False,False,False,0.098,True,293,882,0.5045351473922902,5.443826324399305
A6Q9V0,3.1.3.5,False,False,False,0.537,True,264,795,0.4930817610062893,5.552264493120134
Q8IV63,2.7.11.22,False,False,False,1.0,True,474,1425,0.5529824561403509,5.5505334956462065
A5F3I4,1.8.1.2,False,False,False,1.0,True,614,1845,0.4856368563685637,5.556484118706595
Q2SK05,6.3.5.3,False,False,False,1.0,True,1298,3897,0.5447780343854247,5.626564596702025
B3Q9Q2,2.7.7.108,False,False,False,0.442,True,492,1479,0.6727518593644354,5.108202573283727
A6ZVB1,4.3.1.17,False,False,False,1.0,True,338,1017,0.3992133726647001,5.5622186651768395
P38888,3.2.1.24,False,False,False,0.301,True,796,2391,0.4069427017984107,5.6638558740989495
P75728,1.14.99.60,False,False,False,1.0,True,391,1176,0.5714285714285714,5.434593693539514
Q2FWP1,3.1.4.3,False,False,False,1.0,True,330,198,0.31313131313131315,4.5772576685377295
E1BTE1,2.7.10.2,False,False,False,1.0,True,565,0,,
O74831,1.16.3.1,False,False,False,0.076,True,158,477,0.3836477987421384,5.414085340704482
Q5JDU3,3.5.99.6,False,False,False,1.0,True,326,981,0.5372069317023446,5.497239390563823
P86397,4.2.1.59,True,True,False,1.0,True,168,0,,
A3MYF1,2.8.1.1,True,True,True,1.0,True,108,327,0.45565749235474007,5.021679800754958
O15305,5.4.2.8,False,False,False,1.0,True,246,741,0.45479082321187586,5.506571306146255
P80869,1.1.1.47,False,False,False,1.0,True,258,777,0.4774774774774775,5.45392310782758
Q3J6L0,4.4.1.3,False,False,False,1.0,True,232,699,0.6337625178826896,5.4345174577127
P0DOY1,2.1.1.37,True,True,False,1.0,True,740,0,,
Q9YGY4,3.5.1.98,False,False,False,0.0,True,596,1698,0.46760895170789163,5.546057967758025
Q605G8,4.1.1.11,False,False,False,0.993,True,126,381,0.6141732283464567,4.888593193919957
Q3ZPT5,1.14.18.1,True,False,True,0.106,True,697,2094,0.505730659025788,5.648818527641982
P44157,3.1.3.27,False,False,False,0.063,True,163,492,0.3719512195121951,5.170282101251116
G4V4T5,4.2.1.17,True,True,True,1.0,True,217,654,0.7293577981651376,4.878002679199921
O27637,2.7.6.3,False,False,False,0.214,True,232,699,0.5407725321888412,5.367824790101089
D4B2L8,5.3.4.1,False,False,False,1.0,True,523,1572,0.5782442748091603,4.964165927630653
O68006,5.1.1.3,False,False,False,0.0,False,5255,15768,0.4537671232876712,5.621391416025226
P11347,1.18.6.1,False,False,False,1.0,True,458,1377,0.3478576615831518,5.166584086361907
A1SWQ8,3.6.1.7,True,True,True,1.0,True,90,273,0.4249084249084249,5.052243235744803
P27032,3.2.1.4,False,False,False,0.999,True,332,999,0.5825825825825826,5.1954125963381195
E0D877,3.6.1.5,False,False,False,1.0,True,564,1695,0.4306784660766962,5.6094504219634285
X1WBB5,2.3.1.225,True,True,True,1.0,True,276,0,,
Q05931,3.6.4.10,False,False,False,0.772,True,657,1974,0.37943262411347517,5.482818757569286
F1QG30,3.1.4.12,False,False,False,1.0,True,545,1638,0.5024420024420024,5.7564481130561065
Q3IHZ1,4.2.2.n1,True,True,True,1.0,True,470,1413,0.39561217268223636,5.464806112932264
P60355,1.11.1.6,False,False,False,0.993,True,266,801,0.38451935081148564,5.145737420377736
O55748,3.1.26.3,True,True,True,1.0,True,292,879,0.28668941979522183,5.001288794387009
P22350,1.5.1.2,True,True,True,1.0,True,251,756,0.32407407407407407,5.231524078296052
Q9HU15,2.3.1.180,True,True,False,1.0,True,634,1905,0.6598425196850394,4.971571618998061
Q05197,2.1.1.17,False,False,False,1.0,True,203,612,0.6928104575163399,4.7567992586860814
Q38167,3.1.3.89,False,False,False,0.0,False,244,735,0.39183673469387753,5.453675415054448
P48456,3.1.3.16,False,False,False,1.0,True,622,1869,0.5548421615837347,5.520951792759647
O29665,2.4.2.17,True,True,False,1.0,True,281,846,0.49645390070921985,5.444445738511253
Q0S8V5,6.3.2.2,True,True,False,1.0,True,793,2382,0.6985726280436608,5.216326252899377
P14791,1.14.14.18,False,False,False,0.045,True,296,891,0.5432098765432098,5.421685200664145
A8EXW3,6.3.2.6,True,True,True,1.0,True,236,711,0.30942334739803096,5.191885100504408
Q8DLA9,1.17.99.6,False,False,False,0.116,True,312,1071,0.5583566760037348,5.66083985810791
B9LUV3,2.5.1.78,True,True,False,1.0,True,134,405,0.7333333333333333,4.430158940897591
Q9RFD5,6.6.1.1,False,False,False,0.353,True,1193,3582,0.6898380792853155,4.968951782566969
Q9KDV2,2.7.7.12,True,False,True,0.034,True,508,1527,0.4623444662737394,5.66146892180506
P24498,3.6.5.2,True,True,True,1.0,True,209,0,,
Q336V5,1.20.4.1,False,False,False,1.0,True,160,414,0.6159420289855072,5.345284620137167
O69140,6.2.1.12,True,True,False,1.0,True,384,1254,0.7208931419457735,5.024741919370862
B2V8I4,6.2.1.5,True,True,True,1.0,True,389,1170,0.36923076923076925,5.144177838358068
P07129,3.2.1.37,False,False,False,1.0,True,535,1608,0.44092039800995025,5.680075057330467
P11562,2.8.4.1,False,False,False,0.045,True,249,750,0.48533333333333334,5.201667889211158
P20314,3.1.21.2,False,False,False,0.0,False,152,459,0.49019607843137253,5.413020295230756
P23101,1.18.1.3,False,False,False,1.0,True,336,1011,0.6132542037586548,5.207963418292779
Q6ZLC4,2.7.7.3,False,False,False,1.0,True,187,564,0.5319148936170213,5.409646902501
Q187N7,2.7.2.1,False,False,False,1.0,True,157,474,0.2848101265822785,4.787197447551024
B2UMV0,3.1.11.6,False,False,False,0.164,True,86,261,0.5210727969348659,4.995350219516498
P19254,3.2.1.73,False,False,False,1.0,True,409,1230,0.5089430894308943,5.500885071118701
Q8INK6,3.5.1.28,True,True,True,1.0,True,232,648,0.6141975308641975,5.272351814680464
Q2RKL6,2.4.2.1,True,True,True,1.0,True,260,783,0.5849297573435505,5.389685807037389
P11987,1.14.13.25,False,False,False,0.537,True,170,513,0.6003898635477583,4.925559906189907
Q8TCG2,2.7.1.67,True,True,True,0.632,True,481,1446,0.4640387275242047,5.62901574802977
Q59584,2.1.1.86,False,False,False,0.029,True,100,303,0.45874587458745875,4.910435500513586
P29523,3.1.3.1,False,False,False,1.0,True,550,1653,0.6182698124621899,5.528790801442798
P75400,2.7.1.24,True,True,True,1.0,True,200,603,0.3814262023217247,5.207505646225787
O31822,2.7.7.9,False,False,False,1.0,True,297,894,0.4608501118568233,5.477394640557143
Q4I4A4,3.4.21.105,True,True,True,1.0,True,267,804,0.4962686567164179,5.497760974656148
Q9HKT2,6.3.1.20,True,True,True,1.0,True,94,285,0.41403508771929826,5.036395931673756
P44704,2.7.8.8,False,False,False,1.0,True,455,1368,0.37353801169590645,5.2894058373897455
Q9YW20,2.3.1.97,True,True,False,1.0,True,298,897,0.16276477146042365,4.434410087864649
P0DSV5,2.7.4.9,True,True,False,1.0,True,205,618,0.35436893203883496,5.367864481545942
Q00390,1.12.98.1,False,False,False,1.0,True,398,1197,0.38763575605680867,5.293038980521462
P00642,3.1.21.4,True,False,True,0.024,True,277,834,0.3441247002398082,5.358790828797887
P33363,3.2.1.21,False,False,False,1.0,True,765,2298,0.5422106179286336,5.416842804892556
Q9JL16,3.1.13.1,False,False,False,1.0,True,300,903,0.5869324473975637,5.498852421122061
P44317,4.1.1.17,False,False,False,1.0,True,720,2163,0.36800739713361075,5.253866230883485
Q8K4H1,3.5.1.9,False,False,False,1.0,True,305,918,0.5588235294117647,5.50292602264726
Q99MX1,3.4.19.12,False,False,False,1.0,True,835,2508,0.39992025518341306,5.615632509539346
B2GCY7,3.1.21.10,False,False,False,0.632,True,211,636,0.5628930817610063,5.393583250393325
P60495,3.5.2.9,False,False,False,0.254,True,240,1737,0.5083477259643063,5.7020244710013035
Q944I4,2.7.1.31,False,False,False,1.0,True,456,1170,0.441025641025641,5.64197281907907
Q9LZ72,2.3.1.199,False,False,False,1.0,True,464,1395,0.46738351254480287,5.615402443194303
P40406,3.2.1.52,False,False,False,1.0,True,642,1929,0.45308449974079834,5.557115352490167
A9KLF9,2.7.8.7,True,True,True,1.0,True,122,369,0.37398373983739835,5.122061342624862
Q83424,2.7.7.48,True,False,True,0.0,False,791,2376,0.4612794612794613,5.7724417354833575
P11936,3.1.21.1,False,False,False,1.0,True,284,855,0.5906432748538012,5.40372150333541
O05510,2.7.1.4,False,False,False,1.0,True,299,900,0.4711111111111111,5.5713105677295225
A0QUX7,2.2.1.6,False,False,False,1.0,True,170,513,0.6335282651072125,4.806289310322074
Q8NHS2,2.6.1.1,True,True,False,1.0,True,421,1266,0.48420221169036337,5.597712795950499
I1C083,3.2.2.22,False,False,False,1.0,True,147,444,0.40765765765765766,5.050150559064208
Q46871,1.16.1.9,False,False,False,1.0,True,254,765,0.5633986928104575,5.45673457543552
P41755,1.4.1.2,False,False,False,0.02,True,1063,3192,0.4523809523809524,5.545389892540134
