Entry,n_residues,ss_counts
A5I0I2,335,"{'L': 115, 'H': 174, 'E': 46}"
Q3IF68,333,"{'L': 108, 'E': 45, 'H': 180}"
Q08853,1228,"{'L': 533, 'H': 531, 'E': 164}"
Q4WND5,971,"{'L': 325, 'H': 491, 'E': 155}"
P92939,1061,"{'L': 393, 'H': 497, 'E': 171}"
O55143,1044,"{'L': 355, 'H': 527, 'E': 162}"
Q37145,1020,"{'L': 308, 'H': 564, 'E': 148}"
B0R7K0,227,"{'L': 88, 'E': 68, 'H': 71}"
Q9RU32,210,"{'L': 70, 'E': 68, 'H': 72}"
O67914,208,"{'L': 72, 'E': 64, 'H': 72}"
Q4JAV0,216,"{'L': 78, 'E': 64, 'H': 74}"
Q2S320,210,"{'L': 75, 'E': 65, 'H': 70}"
O14145,849,"{'L': 352, 'E': 163, 'H': 334}"
Q1W5S8,361,"{'L': 183, 'H': 117, 'E': 61}"
Q8SSL0,718,"{'L': 318, 'E': 121, 'H': 279}"
Q6H5L4,375,"{'L': 167, 'H': 150, 'E': 58}"
Q9HIW7,229,"{'L': 77, 'E': 52, 'H': 100}"
B0U1J8,337,"{'L': 118, 'E': 80, 'H': 139}"
Q1QZ16,319,"{'L': 112, 'E': 68, 'H': 139}"
Q1BYA7,642,"{'L': 216, 'E': 104, 'H': 322}"
P58616,342,"{'L': 115, 'E': 83, 'H': 144}"
Q5P8D4,331,"{'L': 119, 'E': 70, 'H': 142}"
A5VQC8,221,"{'L': 90, 'E': 45, 'H': 86}"
A5W2U1,191,"{'L': 68, 'E': 47, 'H': 76}"
Q11FK9,208,"{'L': 84, 'E': 42, 'H': 82}"
Q48JU8,201,"{'L': 87, 'E': 44, 'H': 70}"
Q9ZL74,209,"{'L': 86, 'E': 46, 'H': 77}"
Q9K266,288,"{'L': 83, 'E': 18, 'H': 187}"
Q89AC7,280,"{'L': 71, 'E': 20, 'H': 189}"
Q9PKE2,274,"{'L': 78, 'E': 19, 'H': 177}"
Q8A337,281,"{'L': 78, 'E': 25, 'H': 178}"
B8ENH3,272,"{'L': 84, 'E': 14, 'H': 174}"
P37197,465,"{'L': 207, 'H': 244, 'E': 14}"
A0A391NGM7,379,"{'L': 220, 'H': 144, 'E': 15}"
P0DV69,367,"{'L': 206, 'E': 19, 'H': 142}"
P14532,346,"{'L': 195, 'H': 133, 'E': 18}"
A0A391NKV7,368,"{'L': 212, 'E': 15, 'H': 141}"
Q50L43,825,"{'L': 366, 'E': 199, 'H': 260}"
Q50L41,855,"{'L': 367, 'H': 255, 'E': 233}"
P07297,536,"{'L': 331, 'E': 155, 'H': 50}"
Q9EPR2,192,"{'L': 81, 'H': 107, 'E': 4}"
A8FEM3,355,"{'L': 137, 'H': 169, 'E': 49}"
A7IMW3,343,"{'L': 135, 'H': 158, 'E': 50}"
A5VK00,348,"{'L': 132, 'H': 167, 'E': 49}"
Q8DJ26,351,"{'L': 132, 'H': 167, 'E': 52}"
A0PL81,348,"{'L': 133, 'H': 166, 'E': 49}"
Q05539,253,"{'L': 135, 'H': 113, 'E': 5}"
Q41596,321,"{'L': 183, 'H': 127, 'E': 11}"
H2A0L5,466,"{'L': 188, 'E': 81, 'H': 197}"
Q9M2U5,273,"{'L': 146, 'E': 8, 'H': 119}"
P29021,254,"{'L': 136, 'H': 113, 'E': 5}"
Q98267,634,"{'L': 256, 'H': 263, 'E': 115}"
Q9Q8L4,632,"{'L': 265, 'H': 254, 'E': 113}"
Q9YW39,647,"{'L': 252, 'H': 274, 'E': 121}"
Q3TCT4,606,"{'L': 236, 'H': 271, 'E': 99}"
B8ZRH2,311,"{'L': 127, 'E': 111, 'H': 73}"
Q9YD08,280,"{'L': 118, 'E': 102, 'H': 60}"
Q3IKR4,294,"{'L': 119, 'E': 111, 'H': 64}"
P65770,267,"{'L': 115, 'E': 97, 'H': 55}"
A5VJ17,270,"{'L': 108, 'E': 104, 'H': 58}"
Q9NBX4,908,"{'L': 368, 'E': 156, 'H': 384}"
P0DV59,374,"{'L': 121, 'E': 62, 'H': 191}"
P21329,916,"{'L': 379, 'E': 150, 'H': 387}"
Q47526,312,"{'L': 105, 'H': 158, 'E': 49}"
P23071,427,"{'L': 181, 'H': 170, 'E': 76}"
P80900,383,"{'L': 147, 'E': 76, 'H': 160}"
O05650,192,"{'L': 72, 'E': 42, 'H': 78}"
Q57717,178,"{'L': 67, 'E': 38, 'H': 73}"
P80521,402,"{'L': 163, 'H': 168, 'E': 71}"
O27772,180,"{'L': 71, 'E': 38, 'H': 71}"
Q9W4N2,788,"{'L': 360, 'H': 277, 'E': 151}"
A8XYX2,874,"{'L': 402, 'H': 326, 'E': 146}"
Q38AH0,370,"{'L': 159, 'E': 53, 'H': 158}"
P41469,262,"{'L': 103, 'H': 120, 'E': 39}"
Q4E123,362,"{'L': 147, 'E': 52, 'H': 163}"
B2AE04,398,"{'L': 223, 'E': 50, 'H': 125}"
P0C2S1,895,"{'L': 488, 'H': 251, 'E': 156}"
P50401,872,"{'L': 479, 'E': 234, 'H': 159}"
P50899,1090,"{'L': 545, 'H': 249, 'E': 296}"
B2AC20,419,"{'L': 225, 'E': 43, 'H': 151}"
P15043,609,"{'L': 240, 'H': 292, 'E': 77}"
B0R7Q2,783,"{'L': 307, 'E': 97, 'H': 379}"
Q9YFQ8,735,"{'L': 245, 'E': 101, 'H': 389}"
O94762,991,"{'L': 541, 'H': 383, 'E': 67}"
O26901,690,"{'L': 240, 'H': 364, 'E': 86}"
Q9M8T9,247,"{'L': 107, 'E': 58, 'H': 82}"
Q06592,156,"{'L': 65, 'E': 34, 'H': 57}"
Q07794,436,"{'L': 205, 'H': 140, 'E': 91}"
P34545,2017,"{'L': 1352, 'H': 551, 'E': 114}"
P62915,316,"{'L': 164, 'H': 139, 'E': 13}"
Q7VE16,155,"{'L': 66, 'E': 50, 'H': 39}"
A2CDA0,151,"{'L': 57, 'H': 41, 'E': 53}"
Q46HJ9,155,"{'L': 67, 'H': 40, 'E': 48}"
A9BD34,151,"{'L': 59, 'E': 53, 'H': 39}"
A2BNW8,150,"{'L': 58, 'H': 40, 'E': 52}"
Q6CWT7,681,"{'L': 335, 'H': 251, 'E': 95}"
Q5KH67,678,"{'L': 381, 'E': 77, 'H': 220}"
Q9C1W8,577,"{'L': 326, 'E': 77, 'H': 174}"
Q756F2,594,"{'L': 300, 'H': 219, 'E': 75}"
Q6CEE7,747,"{'L': 425, 'E': 79, 'H': 243}"
Q92L99,308,"{'L': 136, 'E': 69, 'H': 103}"
A1A3D2,344,"{'L': 162, 'E': 69, 'H': 113}"
E3H7X6,302,"{'L': 138, 'E': 69, 'H': 95}"
A5N8M0,309,"{'L': 140, 'E': 68, 'H': 101}"
Q31RB6,299,"{'L': 129, 'E': 69, 'H': 101}"
Q93GX3,257,"{'L': 122, 'E': 68, 'H': 67}"
O30405,356,"{'L': 171, 'E': 73, 'H': 112}"
Q9FGT9,753,"{'L': 379, 'E': 142, 'H': 232}"
D5V0N9,273,"{'L': 136, 'E': 74, 'H': 63}"
E3GCF1,278,"{'L': 137, 'E': 68, 'H': 73}"
Q4WV38,484,"{'L': 216, 'E': 87, 'H': 181}"
A0A1D8PLH0,432,"{'L': 136, 'E': 98, 'H': 198}"
I1RZD0,443,"{'L': 171, 'E': 92, 'H': 180}"
P24521,451,"{'L': 161, 'E': 96, 'H': 194}"
Q9KWG3,374,"{'L': 125, 'E': 86, 'H': 163}"
A1SSJ9,400,"{'L': 174, 'E': 65, 'H': 161}"
A8GD62,399,"{'L': 169, 'E': 65, 'H': 165}"
C5BQC9,396,"{'L': 166, 'E': 65, 'H': 165}"
A0B3G1,400,"{'L': 172, 'E': 67, 'H': 161}"
Q6LP67,400,"{'L': 163, 'E': 66, 'H': 171}"
Q2QM00,487,"{'L': 227, 'H': 191, 'E': 69}"
Q9WTK8,396,"{'L': 144, 'H': 190, 'E': 62}"
O29322,360,"{'L': 112, 'H': 179, 'E': 69}"
A0A0J9WZF0,627,"{'L': 256, 'H': 239, 'E': 132}"
P22447,650,"{'L': 251, 'H': 252, 'E': 147}"
A1C9D4,272,"{'L': 136, 'H': 78, 'E': 58}"
Q7RWX8,290,"{'L': 155, 'E': 61, 'H': 74}"
Q9Y871,536,"{'L': 386, 'H': 69, 'E': 81}"
G2QND5,291,"{'L': 161, 'E': 54, 'H': 76}"
Q9HGR3,292,"{'L': 161, 'E': 55, 'H': 76}"
Q59940,393,"{'L': 142, 'E': 71, 'H': 180}"
P39126,423,"{'L': 145, 'E': 75, 'H': 203}"
D4GU92,419,"{'L': 156, 'E': 75, 'H': 188}"
P56063,425,"{'L': 172, 'E': 79, 'H': 174}"
O14254,439,"{'L': 171, 'E': 83, 'H': 185}"
P0CX77,362,"{'L': 179, 'E': 72, 'H': 111}"
O34482,375,"{'L': 203, 'E': 71, 'H': 101}"
Q9RRX9,322,"{'L': 156, 'E': 76, 'H': 90}"
P9WPX5,315,"{'L': 142, 'E': 68, 'H': 105}"
P50286,330,"{'L': 144, 'E': 76, 'H': 110}"
P9WK19,285,"{'L': 147, 'E': 67, 'H': 71}"
P57324,264,"{'L': 118, 'E': 72, 'H': 74}"
P53582,386,"{'L': 196, 'E': 75, 'H': 115}"
O59730,379,"{'L': 200, 'E': 78, 'H': 101}"
Q9FV50,350,"{'L': 192, 'E': 78, 'H': 80}"
Q8P1N3,472,"{'L': 224, 'E': 91, 'H': 157}"
Q8G6Z9,533,"{'L': 257, 'E': 94, 'H': 182}"
